0.80543,-0.19277,+1
-0.088193,-0.98215,-1
0.96471,0.79824,+1
-0.094304,-0.9958,-1
0.16292,-0.12938,+1
0.40909,0.30213,+1
-0.75016,-0.18787,-1
-0.97694,-0.62897,-1
0.53297,-0.71975,-1
-0.10571,-0.28322,-1
0.96748,0.4176,+1
0.98991,-0.73287,+1
-0.96687,0.48214,-1
-0.62044,-0.2897,-1
-0.43565,-0.17969,-1
0.63376,-0.58349,+1
-0.73445,0.67441,+1
0.36223,-0.51101,-1
0.28474,-0.87562,-1
0.42718,0.99489,+1
0.42486,0.91994,+1
0.57005,-0.50184,+1
-0.98611,0.086772,-1
0.99501,0.24309,+1
-0.46945,0.21389,+1
0.86842,0.11538,+1
0.47717,-0.53118,-1
-0.64515,-0.68552,-1
0.45581,0.35201,+1
-0.90386,0.39494,-1
-0.96188,0.6225,-1
0.15663,0.76618,+1
-0.68781,0.088592,-1
-0.56743,-0.012208,-1
0.43284,-0.12719,+1
0.81882,-0.093818,+1
-0.14256,-0.0053518,+1
-0.054038,0.2985,+1
-0.05263,0.00041088,+1
0.23479,0.47055,+1
-0.050565,0.58214,+1
0.044033,0.98442,+1
0.30682,0.07093,+1
0.54988,-0.19315,+1
-0.94405,0.71836,-1
0.74427,0.8609,+1
0.20505,-0.59799,-1
-0.47665,-0.78903,-1
-0.81337,0.43313,-1
-0.54597,0.58378,+1
-0.3679,0.65678,+1
0.74157,0.29787,+1
0.78556,0.22261,+1
-0.87522,0.45272,-1
0.58989,-0.47995,+1
-0.17362,0.87971,+1
-0.28417,-0.87252,-1
0.54543,-0.62837,-1
0.82306,0.041126,+1
0.4417,0.82572,+1
0.85275,-0.24925,+1
0.20846,0.20487,+1
-0.40193,-0.23926,-1
-0.41969,0.65811,+1
-0.86096,-0.23606,-1
-0.18776,-0.044197,+1
-0.56797,0.63679,+1
0.86921,0.74173,+1
-0.043933,0.95022,+1
-0.62935,0.21308,-1
-0.08493,-0.60885,-1
-0.39042,-0.3643,-1
0.21046,-0.069298,+1
-0.25809,0.87732,+1
0.8249,0.93364,+1
0.15027,-0.14282,+1
-0.98899,-0.94949,-1
0.19348,-0.73626,-1
0.87439,-0.37904,+1
0.66251,-0.93325,-1
0.71953,0.81023,+1
-0.62174,0.029531,-1
-0.46084,-0.71011,-1
-0.40223,0.71545,+1
0.71531,-0.72161,+1
-0.41276,0.73946,+1
0.07533,-0.60702,-1
0.68733,-0.35675,+1
0.77016,0.085488,+1
-0.054473,-0.83169,-1
-0.79049,0.68543,-1
0.77412,-0.027587,+1
-0.031554,-0.88548,-1
-0.87838,-0.61388,-1
-0.28769,0.86747,+1
0.15653,-0.88855,-1
-0.49418,0.51501,+1
-0.50832,0.97325,+1
-0.29052,0.8375,+1
0.91969,0.90339,+1
0.20747,-0.51441,-1
-0.63222,-0.68154,-1
0.49085,-0.17792,+1
-0.55386,0.38518,+1
-0.10276,0.28837,+1
0.63483,0.79328,+1
0.77227,-0.3519,+1
-0.59416,-0.89148,-1
0.71076,0.64247,+1
-0.77361,0.92776,+1
0.60396,-0.8422,-1
0.40346,0.60024,+1
-0.37384,0.25204,+1
-0.76742,-0.8352,-1
-0.5803,-0.69227,-1
0.75678,-0.21097,+1
0.3628,0.3112,+1
-0.43899,0.65536,+1
0.74793,-0.42187,+1
-0.1952,0.62731,+1
-0.90013,-0.80676,-1
-0.36864,0.80667,+1
0.15217,-0.6585,-1
-0.83945,0.093781,-1
0.667,-0.71503,+1
0.80581,-0.21666,+1
-0.77951,-0.3938,-1
0.86034,-0.79759,+1
0.48679,-0.14627,+1
-0.41965,-0.46253,-1
0.98344,-0.37017,+1
-0.49629,-0.11039,-1
0.78003,-0.84636,+1
-0.36866,0.83846,+1
-0.44678,0.2475,+1
-0.016456,0.012856,+1
-0.34142,-0.96907,-1
0.23233,0.96602,+1
0.20559,0.022296,+1
-0.012071,-0.58007,-1
0.27709,0.47544,+1
-0.49694,0.3095,+1
0.19045,0.0781,+1
-0.84365,-0.82291,-1
-0.96896,0.9085,-1
0.0962,0.2119,+1
-0.97448,0.09826,-1
0.011748,0.60613,+1
0.018264,0.51581,+1
0.95796,0.82665,+1
-0.35013,0.099014,+1
0.70161,0.44751,+1
0.46598,0.88281,+1
0.34648,-0.023244,+1
-0.3137,0.73667,+1
-0.3161,-0.29894,-1
-0.55226,-0.86423,-1
0.87501,-0.39977,+1
0.84372,-0.55693,+1
-0.097807,-0.54021,-1
-0.048436,-0.4572,-1
-0.29251,-0.27269,-1
0.31414,-0.4407,-1
-0.88004,-0.26203,-1
-0.47502,-0.15886,-1
-0.60007,0.56365,+1
-0.7338,-0.31559,-1
-0.37217,0.7578,+1
0.096829,-0.88665,-1
0.62546,0.318,+1
-0.76563,-0.44111,-1
0.061423,0.46455,+1
0.65271,-0.54117,+1
0.84517,-0.26509,+1
-0.9239,0.29778,-1
